United Nation Region Groupings,https://en.wikipedia.org/wiki/United_Nations_Regional_Groups
Group,Country
African Group,Algeria
African Group,Angola
African Group,Benin
African Group,Botswana
African Group,Burkina Faso
African Group,Burundi
African Group,Cabo Verde
African Group,Cameroon
African Group,Central African Republic
African Group,Chad
African Group,Comoros
African Group,Congo
African Group,Côte d'Ivoire
African Group,Democratic Republic of the Congo
African Group,Djibouti
African Group,Egypt
African Group,Equatorial Guinea
African Group,Eritrea
African Group,Ethiopia
African Group,Eswatini
African Group,Gabon
African Group,Gambia (Republic of The)
African Group,Ghana
African Group,Guinea
African Group,Guinea-Bissau
African Group,Kenya
African Group,Lesotho
African Group,Liberia
African Group,Libya
African Group,Madagascar
African Group,Malawi
African Group,Mali
African Group,Mauritania
African Group,Mauritius
African Group,Morocco
African Group,Mozambique
African Group,Namibia
African Group,Niger
African Group,Nigeria
African Group,Rwanda
African Group,São Tomé and Príncipe
African Group,Senegal
African Group,Seychelles
African Group,Sierra Leone
African Group,Somalia
African Group,South Africa
African Group,South Sudan
African Group,Sudan
African Group,Togo
African Group,Tunisia
African Group,Uganda
African Group,United Republic of Tanzania
African Group,Zambia
African Group,Zimbabwe
Asia and the Pacific Group,Afghanistan
Asia and the Pacific Group,Bahrain
Asia and the Pacific Group,Bangladesh
Asia and the Pacific Group,Bhutan
Asia and the Pacific Group,Brunei Darussalam
Asia and the Pacific Group,Cambodia
Asia and the Pacific Group,China
Asia and the Pacific Group,Cyprus
Asia and the Pacific Group,North Korea
Asia and the Pacific Group,Fiji
Asia and the Pacific Group,India
Asia and the Pacific Group,Indonesia
Asia and the Pacific Group,Iran (Islamic Republic of)
Asia and the Pacific Group,Iraq
Asia and the Pacific Group,Japan
Asia and the Pacific Group,Jordan
Asia and the Pacific Group,Kazakhstan
Asia and the Pacific Group,Kuwait
Asia and the Pacific Group,Kyrgyzstan
Asia and the Pacific Group,Lao People's Democratic Republic
Asia and the Pacific Group,Lebanon
Asia and the Pacific Group,Malaysia
Asia and the Pacific Group,Maldives
Asia and the Pacific Group,Marshall Islands
Asia and the Pacific Group,Micronesia (Federated States of)
Asia and the Pacific Group,Mongolia
Asia and the Pacific Group,Myanmar
Asia and the Pacific Group,Nauru
Asia and the Pacific Group,Nepal
Asia and the Pacific Group,Oman
Asia and the Pacific Group,Pakistan
Asia and the Pacific Group,Palau
Asia and the Pacific Group,Papua New Guinea
Asia and the Pacific Group,Philippines
Asia and the Pacific Group,Qatar
Asia and the Pacific Group,South Korea
Asia and the Pacific Group,Samoa
Asia and the Pacific Group,Saudi Arabia
Asia and the Pacific Group,Singapore
Asia and the Pacific Group,Solomon Islands
Asia and the Pacific Group,Sri Lanka
Asia and the Pacific Group,State of Palestine
Asia and the Pacific Group,Syrian Arab Republic
Asia and the Pacific Group,Tajikistan
Asia and the Pacific Group,Thailand
Asia and the Pacific Group,Timor-Leste
Asia and the Pacific Group,Tonga
Asia and the Pacific Group,Turkmenistan
Asia and the Pacific Group,Tuvalu
Asia and the Pacific Group,United Arab Emirates
Asia and the Pacific Group,Uzbekistan
Asia and the Pacific Group,Vanuatu
Asia and the Pacific Group,Viet Nam
Asia and the Pacific Group,Yemen
Eastern European Group,Albania
Eastern European Group,Armenia
Eastern European Group,Azerbaijan
Eastern European Group,Belarus
Eastern European Group,Bosnia and Herzegovina
Eastern European Group,Bulgaria
Eastern European Group,Croatia
Eastern European Group,Czech Republic
Eastern European Group,Estonia
Eastern European Group,Georgia
Eastern European Group,Hungary
Eastern European Group,Latvia
Eastern European Group,Lithuania
Eastern European Group,Montenegro
Eastern European Group,North Macedonia
Eastern European Group,Poland
Eastern European Group,Republic of Moldova
Eastern European Group,Romania
Eastern European Group,Russian Federation
Eastern European Group,Serbia
Eastern European Group,Slovakia
Eastern European Group,Slovenia
Eastern European Group,Ukraine
Latin American and Caribbean Group (GRULAC),Antigua and Barbuda
Latin American and Caribbean Group (GRULAC),Argentina
Latin American and Caribbean Group (GRULAC),Bahamas
Latin American and Caribbean Group (GRULAC),Barbados
Latin American and Caribbean Group (GRULAC),Belize
Latin American and Caribbean Group (GRULAC),Bolivia (Plurinational State of)
Latin American and Caribbean Group (GRULAC),Brazil
Latin American and Caribbean Group (GRULAC),Chile
Latin American and Caribbean Group (GRULAC),Colombia
Latin American and Caribbean Group (GRULAC),Costa Rica
Latin American and Caribbean Group (GRULAC),Cuba
Latin American and Caribbean Group (GRULAC),Dominica
Latin American and Caribbean Group (GRULAC),Dominican Republic
Latin American and Caribbean Group (GRULAC),Ecuador
Latin American and Caribbean Group (GRULAC),El Salvador
Latin American and Caribbean Group (GRULAC),Grenada
Latin American and Caribbean Group (GRULAC),Guatemala
Latin American and Caribbean Group (GRULAC),Guyana
Latin American and Caribbean Group (GRULAC),Haiti
Latin American and Caribbean Group (GRULAC),Honduras
Latin American and Caribbean Group (GRULAC),Jamaica
Latin American and Caribbean Group (GRULAC),Mexico
Latin American and Caribbean Group (GRULAC),Nicaragua
Latin American and Caribbean Group (GRULAC),Panama
Latin American and Caribbean Group (GRULAC),Paraguay
Latin American and Caribbean Group (GRULAC),Peru
Latin American and Caribbean Group (GRULAC),Saint Kitts and Nevis
Latin American and Caribbean Group (GRULAC),Saint Lucia
Latin American and Caribbean Group (GRULAC),Saint Vincent and the Grenadines
