United Nation Region Groupings,https://en.wikipedia.org/wiki/United_Nations_Regional_Groups,
UN Group,Country,ISO-3
African Group,Algeria,DZA
African Group,Angola,AGO
African Group,Benin,BEN
African Group,Botswana,BWA
African Group,Burkina Faso,BFA
African Group,Burundi,BDI
African Group,Cabo Verde,CPV
African Group,Cameroon,CMR
African Group,Central African Republic,CAF
African Group,Chad,TCD
African Group,Comoros,COM
African Group,Congo,COG
African Group,Côte d'Ivoire,CIV
African Group,Democratic Republic of the Congo,COD
African Group,Djibouti,DJI
African Group,Egypt,EGY
African Group,Equatorial Guinea,GNQ
African Group,Eritrea,ERI
African Group,Ethiopia,ETH
African Group,Eswatini,SWZ
African Group,Gabon,GAB
African Group,Gambia,GMB
African Group,Ghana,GHA
African Group,Guinea,GIN
African Group,Guinea-Bissau,GNB
African Group,Kenya,KEN
African Group,Lesotho,LSO
African Group,Liberia,LBR
African Group,Libya,LBY
African Group,Madagascar,MDG
African Group,Malawi,MWI
African Group,Mali,MLI
African Group,Mauritania,MRT
African Group,Mauritius,MUS
African Group,Morocco,MAR
African Group,Mozambique,MOZ
African Group,Namibia,NAM
African Group,Niger,NER
African Group,Nigeria,NGA
African Group,Rwanda,RWA
African Group,São Tomé and Príncipe,STP
African Group,Senegal,SEN
African Group,Seychelles,SYC
African Group,Sierra Leone,SLE
African Group,Somalia,SOM
African Group,South Africa,ZAF
African Group,South Sudan,SSD
African Group,Sudan,SDN
African Group,Togo,TGO
African Group,Tunisia,TUN
African Group,Uganda,UGA
African Group,Tanzania,TZA
African Group,Zambia,ZMB
African Group,Zimbabwe,ZWE
Asia and the Pacific Group,Afghanistan,AFG
Asia and the Pacific Group,Bahrain,BHR
Asia and the Pacific Group,Bangladesh,BGD
Asia and the Pacific Group,Bhutan,BTN
Asia and the Pacific Group,Brunei Darussalam,BRN
Asia and the Pacific Group,Cambodia,KHM
Asia and the Pacific Group,China,CHN
Asia and the Pacific Group,Cyprus,CYP
Asia and the Pacific Group,North Korea,PRK
Asia and the Pacific Group,Fiji,FJI
Asia and the Pacific Group,India,IND
Asia and the Pacific Group,Indonesia,IDN
Asia and the Pacific Group,Iran,IRN
Asia and the Pacific Group,Iraq,IRQ
Asia and the Pacific Group,Japan,JPN
Asia and the Pacific Group,Jordan,JOR
Asia and the Pacific Group,Kazakhstan,KAZ
Asia and the Pacific Group,Kuwait,KWT
Asia and the Pacific Group,Kyrgyzstan,KGZ
Asia and the Pacific Group,Lao People's Democratic Republic,LAO
Asia and the Pacific Group,Lebanon,LBN
Asia and the Pacific Group,Malaysia,MYS
Asia and the Pacific Group,Maldives,MDV
Asia and the Pacific Group,Marshall Islands,MHL
Asia and the Pacific Group,Micronesia,FSM
Asia and the Pacific Group,Mongolia,MNG
Asia and the Pacific Group,Myanmar,MMR
