2020 WORLD PRESS FREEDOM INDEX by REPORTERS WITHOUT BORDERS,https://rsf.org/en/ranking,,
Rank,Country,Score,ISO-3
1,Norway,7.84,NOR
2,Finland,7.93,FIN
3,Denmark,8.13,DNK
4,Sweden,9.25,SWE
5,Netherlands,9.96,NLD
6,Jamaica,10.51,JAM
7,Costa Rica,10.53,CRI
8,Switzerland,10.62,CHE
9,New Zealand,10.69,NZL
10,Portugal,11.83,PRT
11,Germany,12.16,DEU
12,Belgium,12.57,BEL
13,Ireland,12.6,IRL
14,Estonia,12.61,EST
15,Iceland,15.12,ISL
16,Canada,15.29,CAN
17,Luxembourg,15.46,LUX
18,Austria,15.78,AUT
19,Uruguay,15.79,URY
20,Suriname,17.5,SUR
21,Samoa,18.25,WSM
22,Latvia,18.56,LVA
23,Namibia,19.25,NAM
24,Liechtenstein,19.52,LIE
25,Cabo Verde,20.15,CPV
26,Australia,20.21,AUS
27,Cyprus,20.45,CYP
28,Lithuania,21.19,LTU
29,Spain,22.16,ESP
30,Ghana,22.26,GHA
31,South Africa,22.41,ZAF
32,Slovenia,22.64,SVN
33,Slovakia,22.67,SVK
34,France,22.92,FRA
35,United Kingdom,22.93,GBR
36,Trinidad and Tobago,23.22,TTO
37,Andorra,23.23,AND
38,Burkina Faso,23.47,BFA
39,Botswana,23.56,BWA
40,Czech Republic,23.57,CZE
41,Italy,23.69,ITA
42,South Korea,23.7,KOR
43,Taiwan,23.76,TWN
44,OECS,23.78,
45,United States,23.85,USA
46,Papua New Guinea,23.93,PNG
47,Senegal,23.99,SEN
48,Romania,25.91,ROU
49,Guyana,26.63,GUY
50,Tonga,27.27,TON
51,Chile,27.31,CHL
52,Fiji,27.41,FJI
53,Belize,27.5,BLZ
54,Madagascar,27.68,MDG
55,Dominican Republic,27.9,DOM
56,Mauritius,28,MUS
57,Niger,28.25,NER
58,Bosnia-Herzegovina,28.51,BIH
59,Croatia,28.51,HRV
60,Georgia,28.59,GEO
61,Armenia,28.6,ARM
62,Poland,28.65,POL
63,Seychelles,28.66,SYC
64,Argentina,28.78,ARG
65,Greece,28.8,GRC
66,Japan,28.86,JPN
67,Bhutan,28.9,BTN
68,Cote D'Ivoire,28.94,CIV
69,Malawi,29.32,MWI
70,Kosovo,29.33,
71,Togo,29.33,TGO
72,Tunisia,29.45,TUN
73,Mongolia,29.61,MNG
74,El Salvador,29.7,SLV
75,Comoros,29.77,COM
76,Panama,29.78,PAN
77,Northern Cyprus,29.79,CYP
78,Timor-Leste,29.9,TLS
79,Maldives,29.93,MDV
80,Hong Kong,30.01,HKG
81,Malta,30.16,MLT
82,Kyrgyzstan,30.19,KGZ
83,Hati,30.2,HTI
84,Albania,30.25,ALB
85,Sierra Leone,30.28,SLE
86,Lesotho,30.45,LSO
87,Gambia,30.62,GMB
88,Israel,30.84,ISR
89,Hungary,30.84,HUN
90,Peru,30.94,PER
91,Moldova,31.16,MDA
92,North Macedonia,31.28,MKD
93,Serbia,31.62,SRB
94,Guinea Bissau,32.06,GNB
95,Liberia,32.25,LBR
96,Ukraine,32.52,UKR
97,Mauritania,32.54,MRT
98,Ecuador,32.62,ECU
99,Ethiopia,32.82,ETH
100,Paraguay,32.97,PRY
101,Malaysia,33.12,MYS
102,Lebanon,33.19,LBN
103,Kenya,33.72,KEN
104,Mozambique,33.79,MOZ
105,Montenegro,33.83,MNE
106,Angola,33.92,AGO
